campo_partenza,procedura,riga,campo_arrivo,id_ingresso,esito,trigger_origine,mappe_partenza_candidate,mappe_arrivo_candidate
F002_012_00,MAIN_DOOR_SOUTH,33,F002_002_00,5,field-and-entrance-resolved,0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F002_012_00,MAIN_DOOR_NORTH,56,F002_002_00,6,field-and-entrance-resolved,1,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0,RMAP_002_0_0;RMAP_002_0_1;RMAP_002_0_2;RMAP_002_5_0
F003_002_00,MAIN_GOTO_EXIT,109,F009_002_00,1,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_GOTO_EXIT,145,F009_002_00,1,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_GOTO_EXIT,164,F009_002_00,1,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_Goto2F,200,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_CAFE_Freezer,536,F003_002_00,12,field-and-entrance-resolved,2,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_CAFE_Kitchen,850,F003_002_00,12,field-and-entrance-resolved,"3,17",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_CAFE_Counter,1242,F003_002_00,12,field-and-entrance-resolved,"5,16",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MAIN_CAFE_Table,1687,F003_002_00,12,field-and-entrance-resolved,"6,7,8",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,CHECK_Toilet,2182,F003_002_00,12,field-and-entrance-resolved,10,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_CHK_TABLE_BACK,3316,F003_002_00,12,field-and-entrance-resolved,8,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MY_ROOM_CALL_CALENDAR,4016,F003_002_01,20,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MY_ROOM_CALL_CALENDAR,4021,F003_002_01,0,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,MY_ROOM_CALL_CALENDAR,4028,F003_002_01,0,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Cafe1F_Alley,4358,F009_002_00,1,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Cafe1F_Alley,4420,F009_002_00,1,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4550,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4607,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4636,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4676,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4698,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4720,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4785,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_KFEVT_Goto1F_2F,4791,F003_002_01,3,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_TALK_END,5970,F003_002_00,214,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_TALK_END,5980,F003_002_00,214,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_00,SUB_TALK_END,5984,F003_002_01,200,field-and-entrance-resolved,"4,13,15",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_Goto1F_auto,213,F003_002_00,11,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_Goto1F_auto,358,F003_002_00,11,field-and-entrance-resolved,0,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_Goto1F,405,F003_002_00,11,field-and-entrance-resolved,1,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_MY_Bed,516,F003_002_01,0,field-and-entrance-resolved,"2,14",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_MY_Desk,955,F003_002_01,0,field-and-entrance-resolved,"5,19",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MAIN_MY_Table,1325,F003_002_01,0,field-and-entrance-resolved,"6,16,21",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,Main_Training_Chair,2258,F003_002_01,0,field-and-entrance-resolved,13,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,EX_Goto2F_1F,2720,F003_002_00,11,field-and-entrance-resolved,"0,1",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MY_ROOM_CALL_CALENDAR,2894,F003_002_01,20,field-and-entrance-resolved,"5,19",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MY_ROOM_CALL_CALENDAR,2900,F003_002_01,0,field-and-entrance-resolved,"5,19",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MY_ROOM_CALL_CALENDAR,2908,F003_002_01,0,field-and-entrance-resolved,"5,19",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,SUB_KFEVT_Goto2F_1F,3520,F003_002_00,11,field-and-entrance-resolved,"0,1",RMAP_009_2_0,RMAP_009_2_0
F003_002_01,MORNING_COMMON,6257,F003_002_01,0,field-and-entrance-resolved,,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,fev_MY_ROOM_CALL_CALENDAR,6567,F003_002_01,20,field-and-entrance-resolved,,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,fev_MY_ROOM_CALL_CALENDAR,6572,F003_002_01,0,field-and-entrance-resolved,,RMAP_009_2_0,RMAP_009_2_0
F003_002_01,fev_MY_ROOM_CALL_CALENDAR,6579,F003_002_01,0,field-and-entrance-resolved,,RMAP_009_2_0,RMAP_009_2_0
F005_001_00,Main_DartsAndBilliard,631,F005_002_00,0,field-and-entrance-resolved,3,RMAP_005_1_0,
F005_001_00,Main_JazzClub,846,F005_003_00,0,field-and-entrance-resolved,4,RMAP_005_1_0,
F005_001_00,CHK_VELVET_DOOR,2190,F010_003_00,0,field-and-entrance-resolved,14,RMAP_005_1_0,RMAP_001_1_0
